experiment,trades,final_asset,final_return,peak_asset,peak_growth,win_rate,pf,mdd,max_conc,max_conc_unique_symbols,same_bar_trades,active_leftover
long_guarded_wick_split_quarter_threequarters_baseline,3514,102.26269501015584,0.022626950101558352,102.34107806193182,0.023410780619318228,0.5202048947068867,1.2365786716083411,-0.007440467002106765,50,50,7663,50
long_guarded_wick_split_onethird_twothirds,3514,101.54539562911,0.015453956291100024,101.80966676276049,0.018096667627604868,0.5202048947068867,1.131094343634669,-0.010821239065288535,50,50,7663,50
long_guarded_wick_split_half_half_wick050,7080,109.96034333273646,0.09960343332736454,110.84641127142204,0.10846411271422052,0.5498587570621469,1.303308649932586,-0.010455957931182702,50,50,7602,0
long_guarded_wick_split_baseline_us_only,2774,103.14311746891359,0.03143117468913581,103.17269828663437,0.03172698286634379,0.5468637346791637,1.427776896323276,-0.0033944978888001964,50,50,7663,28
long_guarded_wick_split_baseline_dd025,3514,102.26269501015584,0.022626950101558352,102.34107806193182,0.023410780619318228,0.5202048947068867,1.2365786716083411,-0.007440467002106765,50,50,7663,50
long_guarded_wick_split_baseline_max40,3354,102.3664712946372,0.023664712946371846,102.44801830212212,0.024480183021221125,0.5271317829457365,1.2605168049626905,-0.004310633976229106,40,40,7663,40
long_guarded_wick_split_baseline_reentry48,3514,102.26269501015584,0.022626950101558352,102.34107806193182,0.023410780619318228,0.5202048947068867,1.2365786716083411,-0.007440467002106765,50,50,7663,50
long_guarded_wick_split_baseline_quiet48,5220,105.36207933738221,0.053620793373822195,105.36207933738221,0.053620793373822195,0.5293103448275862,1.440728920005295,-0.004433839588408484,41,41,7663,0
long_guarded_wick_split_onethird_us_only,2774,102.77682186395079,0.027768218639507847,102.86063700433486,0.02860637004334854,0.5468637346791637,1.306166925886303,-0.004308869540684435,50,50,7663,28
long_guarded_wick_split_onethird_max40_dd025,3354,101.75519968347676,0.017551996834767714,102.01352954615922,0.020135295461592095,0.5271317829457365,1.156689654578493,-0.0064908818258755385,40,40,7663,40
long_guarded_wick_split_halfhalf_us_only,2673,102.60132697011795,0.026013269701179453,103.12107148049878,0.031210714804987827,0.5548073325851104,1.2120046572291758,-0.0061524460973322315,45,45,7602,0
long_guarded_wick_split_halfhalf_max40_dd025,7024,109.93477772962507,0.09934777729625077,110.89975343432975,0.10899753434329762,0.5498291571753986,1.3034846890159484,-0.011161879835056232,40,40,7602,0
